"unique.mun.NO_MUNICIPIO..x","unique.mun.CO_MUNICIPIO.","unique.mun.SG_UF..x","sum.mun.QT_MAT_ID..2.x","unique.mun.NO_MUNICIPIO..y","unique.mun.SG_UF..y","sum.mun.QT_MAT_ID..2.y","unique.mun.NO_MUNICIPIO..x.x","unique.mun.SG_UF..x.x","sum.mun.QT_MAT_ID..2.x.x","unique.mun.NO_MUNICIPIO..y.y","unique.mun.SG_UF..y.y","sum.mun.QT_MAT_ID..2.y.y","unique.mun.NO_MUNICIPIO..x.x.x","unique.mun.SG_UF..x.x.x","sum.mun.QT_MAT_ID..2.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y","unique.mun.SG_UF..y.y.y","sum.mun.QT_MAT_ID..2.y.y.y","unique.mun.NO_MUNICIPIO..x.x.x.x","unique.mun.SG_UF..x.x.x.x","sum.mun.QT_MAT_ID..2.x.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y.y","unique.mun.SG_UF..y.y.y.y","sum.mun.QT_MAT_ID..2.y.y.y.y","unique.mun.NO_MUNICIPIO..x.x.x.x.x","unique.mun.SG_UF..x.x.x.x.x","sum.mun.QT_MAT_ID..2.x.x.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y.y.y","unique.mun.SG_UF..y.y.y.y.y","sum.mun.QT_MAT_ID..2.y.y.y.y.y","unique.mun.NO_MUNICIPIO..x.x.x.x.x.x","unique.mun.SG_UF..x.x.x.x.x.x","sum.mun.QT_MAT_ID..2.x.x.x.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y.y.y.y","unique.mun.SG_UF..y.y.y.y.y.y","sum.mun.QT_MAT_ID..2.y.y.y.y.y.y","unique.mun.NO_MUNICIPIO..x.x.x.x.x.x.x","unique.mun.SG_UF..x.x.x.x.x.x.x","sum.mun.QT_MAT_ID..2.x.x.x.x.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y.y.y.y.y","unique.mun.SG_UF..y.y.y.y.y.y.y","sum.mun.QT_MAT_ID..2.y.y.y.y.y.y.y","unique.mun.NO_MUNICIPIO..x.x.x.x.x.x.x.x","unique.mun.SG_UF..x.x.x.x.x.x.x.x","sum.mun.QT_MAT_ID..2.x.x.x.x.x.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y.y.y.y.y.y","unique.mun.SG_UF..y.y.y.y.y.y.y.y","sum.mun.QT_MAT_ID..2.y.y.y.y.y.y.y.y"
"Porto Velho",1100205,"RO",0.254244645029775,"Porto Velho","RO",0.262119357903565,"Porto Velho","RO",0.267409647100087,"Porto Velho","RO",0.287328468023953,"Porto Velho","RO",0.301063148629925,"Porto Velho","RO",0.349821664414246,"Porto Velho","RO",0.36218533313355,"Porto Velho","RO",0.373106651283654,"Porto Velho","RO",0.390580442120751,"Porto Velho","RO",0.419732324861957,"Porto Velho","RO",0.460573885902919,"Porto Velho","RO",0.450447708402739,"Porto Velho","RO",0.488060317671353,"Porto Velho","RO",0.563349829561243,"Porto Velho","RO",0.643424697404204,"Porto Velho","RO",0.726295119088613
"Presidente Médici",1100254,"RO",0.242028162539631,"Presidente Médici","RO",0.255170838488627,"Presidente Médici","RO",0.300074300015642,"Presidente Médici","RO",0.29440551175098,"Presidente Médici","RO",0.341062555016043,"Presidente Médici","RO",0.306815684020087,"Presidente Médici","RO",0.266236861143027,"Presidente Médici","RO",0.246181694980882,"Presidente Médici","RO",0.229598308668076,"Presidente Médici","RO",0.326133153328833,"Presidente Médici","RO",0.345885955979097,"Presidente Médici","RO",0.482611427145279,"Presidente Médici","RO",0.333158069183637,"Presidente Médici","RO",0.489350390231809,"Presidente Médici","RO",0.82,"Presidente Médici","RO",0.811760125416503
"Alvorada D'Oeste",1100346,"RO",0.274512384367786,"Alvorada D'Oeste","RO",0.327757836803063,"Alvorada D'Oeste","RO",0.316710969342548,"Alvorada D'Oeste","RO",0.245192949088533,"Alvorada D'Oeste","RO",0.187674905542618,"Alvorada D'Oeste","RO",0.291970237285856,"Alvorada D'Oeste","RO",0.347156177156177,"Alvorada D'Oeste","RO",0.43880546177658,"Alvorada D'Oeste","RO",0.604037693087613,"Alvorada D'Oeste","RO",0.63131168051885,"Alvorada D'Oeste","RO",0.615894039735099,"Alvorada D'Oeste","RO",0.614285714285714,"Alvorada D'Oeste","RO",0.185980952380952,"Alvorada D'Oeste","RO",0.693911177953731,"Alvorada D'Oeste","RO",0.795321637426901,"Alvorada D'Oeste","RO",0.885350318471338
"Nova Mamoré",1100338,"RO",0.201788253076069,"Nova Mamoré","RO",0.209435006108665,"Nova Mamoré","RO",0.192741446366694,"Nova Mamoré","RO",0.211034318127565,"Nova Mamoré","RO",0.229409215657952,"Nova Mamoré","RO",0.317855051876878,"Nova Mamoré","RO",0.356199889554606,"Nova Mamoré","RO",0.325136502328569,"Nova Mamoré","RO",0.266898326898327,"Nova Mamoré","RO",0.332787913956438,"Nova Mamoré","RO",0.291742016811673,"Nova Mamoré","RO",0.401409910843873,"Nova Mamoré","RO",0.42303830056814,"Nova Mamoré","RO",0.513778409090909,"Nova Mamoré","RO",0.574300071787509,"Nova Mamoré","RO",0.764692820133235
"Campo Novo de Rondônia",1100700,"RO",0.102631578947368,"Campo Novo de Rondônia","RO",0.188211197086937,"Campo Novo de Rondônia","RO",0.19102512360004,"Campo Novo de Rondônia","RO",0.248406289842754,"Campo Novo de Rondônia","RO",0.257425312465092,"Campo Novo de Rondônia","RO",0.194900135737832,"Campo Novo de Rondônia","RO",0.143286631640397,"Campo Novo de Rondônia","RO",0.212802861943737,"Campo Novo de Rondônia","RO",0.246377450548159,"Campo Novo de Rondônia","RO",0.23062119584676,"Campo Novo de Rondônia","RO",0.249682019011916,"Campo Novo de Rondônia","RO",0.288313560894828,"Campo Novo de Rondônia","RO",0.319508448540707,"Campo Novo de Rondônia","RO",0.525774526678141,"Campo Novo de Rondônia","RO",0.535115303983228,"Campo Novo de Rondônia","RO",0.53527706185567
"Buritis",1100452,"RO",0.20004689459827,"Buritis","RO",0.244966748562535,"Buritis","RO",0.272881787976372,"Buritis","RO",0.253240063804333,"Buritis","RO",0.304467024861981,"Buritis","RO",0.343729195292718,"Buritis","RO",0.344776876267748,"Buritis","RO",0.430677883056356,"Buritis","RO",0.465368789626215,"Buritis","RO",0.43176440810746,"Buritis","RO",0.418332975177129,"Buritis","RO",0.424556478256394,"Buritis","RO",0.475289008226485,"Buritis","RO",0.577281263501923,"Buritis","RO",0.709091274385711,"Buritis","RO",0.683068285009548
"Candeias do Jamari",1100809,"RO",0.175337623769935,"Candeias do Jamari","RO",0.275134254410029,"Candeias do Jamari","RO",0.262815148205981,"Candeias do Jamari","RO",0.177994333130945,"Candeias do Jamari","RO",0.157294344473008,"Candeias do Jamari","RO",0.2371570179406,"Candeias do Jamari","RO",0.263752879862214,"Candeias do Jamari","RO",0.279642909605652,"Candeias do Jamari","RO",0.326050702415374,"Candeias do Jamari","RO",0.35709534368071,"Candeias do Jamari","RO",0.317335177501153,"Candeias do Jamari","RO",0.307641309289286,"Candeias do Jamari","RO",0.306208253382235,"Candeias do Jamari","RO",0.407467532467532,"Candeias do Jamari","RO",0.363399931265732,"Candeias do Jamari","RO",0.5975634690748
"Itapuã do Oeste",1101104,"RO",0.089248179056327,"Itapuã do Oeste","RO",0.0909925738515239,"Itapuã do Oeste","RO",0.157854251012146,"Itapuã do Oeste","RO",0.225549838436099,"Itapuã do Oeste","RO",0.200416883793643,"Itapuã do Oeste","RO",0.212313655336911,"Itapuã do Oeste","RO",0.312144440816046,"Itapuã do Oeste","RO",0.308152533299745,"Itapuã do Oeste","RO",0.320260273685534,"Itapuã do Oeste","RO",0.164382570589938,"Itapuã do Oeste","RO",0.202810304449649,"Itapuã do Oeste","RO",0.320548780941469,"Itapuã do Oeste","RO",0.352081811541271,"Itapuã do Oeste","RO",0.443660968660969,"Itapuã do Oeste","RO",0.632437946276777,"Itapuã do Oeste","RO",0.790107386918321
"Costa Marques",1100080,"RO",0.383290006082254,"Costa Marques","RO",0.454827355011733,"Costa Marques","RO",0.347492757966237,"Costa Marques","RO",0.39973088037412,"Costa Marques","RO",0.393543913163692,"Costa Marques","RO",0.396061643835616,"Costa Marques","RO",0.498442015328559,"Costa Marques","RO",0.432643690612845,"Costa Marques","RO",0.497797412753424,"Costa Marques","RO",0.522897055191152,"Costa Marques","RO",0.408702904238619,"Costa Marques","RO",0.683566357999036,"Costa Marques","RO",0.620997385202882,"Costa Marques","RO",0.667426980843949,"Costa Marques","RO",0.538029620224181,"Costa Marques","RO",0.567567567567568
"São Francisco do Guaporé",1101492,"RO",0.157402301155591,"São Francisco do Guaporé","RO",0.219373239420102,"São Francisco do Guaporé","RO",0.200703933747412,"São Francisco do Guaporé","RO",0.224492972780644,"São Francisco do Guaporé","RO",0.237569661546826,"São Francisco do Guaporé","RO",0.315649959889784,"São Francisco do Guaporé","RO",0.304163922146021,"São Francisco do Guaporé","RO",0.380153333770597,"São Francisco do Guaporé","RO",0.421778216878276,"São Francisco do Guaporé","RO",0.44281601461509,"São Francisco do Guaporé","RO",0.523550840077317,"São Francisco do Guaporé","RO",0.438158627948734,"São Francisco do Guaporé","RO",0.387611673615247,"São Francisco do Guaporé","RO",0.620911748583958,"São Francisco do Guaporé","RO",0.673469387755102,"São Francisco do Guaporé","RO",0.64588241593489
